change_id,numeric_id,project,branch,owner_id,abandon_ts,reopen_ts,final_status
Ie98bcef4bbb645159ea650295c0e8ebec31bec33,145284,core,master,1001615,2023-01-11 21:18:09.000000000,,ABANDONED
I4ac3b25349b8057812c45dc8148f8b3fc3b7ca1e,145319,core,distro/collabora/co-2021,1000947,2023-01-13 15:42:28.000000000,,ABANDONED
I3daad0754c3f581c63d8bcd09f177cc3b2f8b586,145364,core,master,1000043,2023-01-13 10:47:52.000000000,,ABANDONED
I1b05c7a91ebee28f1e52ae8800b916cb09e101e0,145365,core,master,1003571,2023-01-11 22:17:45.000000000,,ABANDONED
I5d449caa432399e836b8e59781e5cc53af718873,145437,core,libreoffice-7-5,1003771,2023-01-21 00:02:49.000000000,,ABANDONED
I03542ad3171814f6869bccab4dde77673eaa90f7,145447,core,libreoffice-7-4,1003558,2023-01-24 21:40:29.000000000,,ABANDONED
I03542ad3171814f6869bccab4dde77673eaa90f7,145448,core,libreoffice-7-5-0,1003558,2023-01-24 21:39:57.000000000,,ABANDONED
Ia942d72530691bf8cc66f2d8e5c7caf310597b28,145571,core,distro/collabora/co-22.05,1000664,2023-01-24 10:46:39.000000000,,ABANDONED
Ia3e4bb04a029149e5945274f592252704c34f3eb,145578,core,distro/collabora/co-22.05,1000994,2023-01-16 12:56:25.000000000,,ABANDONED
I004ab01f7a74173b31ca7c92b098ebaffb814257,145633,core,distro/collabora/co-22.05,1000865,2023-01-17 15:19:39.000000000,,ABANDONED
Ic54008f4edcdb5c956ce1c96f1aa6c6ef321591c,145656,core,master,1000083,2023-01-17 13:43:18.000000000,,ABANDONED
I5026934ecdf19fdff48f109629caf0d533975225,145678,core,master,1000083,2023-01-17 19:09:38.000000000,,ABANDONED
I9b1bf0214af61b9bdd5d7e3d8209fe92a2db002f,145682,core,master,1000994,2023-01-18 04:48:32.000000000,,ABANDONED
I4804b132cb3c3cfea2335a439193061f9e6a7201,145705,core,master,1000083,2023-01-18 07:41:52.000000000,,ABANDONED
Ibaab8626810a35c92001bf35b6b0af7cd6d54994,145723,core,master,1002862,2023-01-19 19:43:01.000000000,,ABANDONED
I501f91e736839639dbb1d261759e8d5ee07f0873,145751,core,libreoffice-7-5-0,1002512,2023-01-26 19:08:03.000000000,,ABANDONED
Id20f307de100309321d9333864c7b276022cba77,145754,core,libreoffice-7-5,1002512,2023-01-26 19:07:37.000000000,,ABANDONED
Ic481fb9fbf50b788802761860c54d27d4cb32676,145957,core,master,1003828,2023-01-22 08:54:10.000000000,,ABANDONED
Ibd555dcc00a03baa1bb300a9ab9905f383179c67,146015,core,libreoffice-7-5-0,1000179,2023-01-23 10:27:13.000000000,,ABANDONED
I6ac920c31256f86dd9522e70a5717dc7eb019c81,146045,core,master,1003547,2023-01-26 10:12:02.000000000,,ABANDONED
I8de268d1c9ac8f0a75aa84e231812b12310db76a,146089,core,libreoffice-7-5-0,1000135,2023-01-26 15:09:02.000000000,,ABANDONED
Ifc3480ae9176a835be7921eafb6de5881ff18083,146123,core,distro/collabora/co-23.05,1000062,2023-01-25 08:27:19.000000000,,ABANDONED
Iabb202aa49e8bd33f838b50f0977d6bfdea2dddd,146154,core,master,1000083,2023-01-26 07:37:24.000000000,,ABANDONED
Ic7eb81ccb59efffbff696c5295698d4ec4990bfb,146155,core,master,1000083,2023-01-26 07:37:20.000000000,,ABANDONED
I6b296703c9a37149d9e11f29901e6db32bd041b7,146267,core,libreoffice-7-5,1000804,2023-01-28 13:57:25.000000000,,ABANDONED
I688e796ff09a6df86eda6409b16150a8684bff7b,146320,core,libreoffice-7-5,1000179,2023-01-31 10:45:49.000000000,,ABANDONED
Ia842eea23a4c4d02852debee7455d65a2586ab00,146335,core,master,1000083,2023-01-30 07:59:27.000000000,,ABANDONED
I1aea8ecf55aafbcb68d2cd99f57756d18bc2c4d1,146342,core,master,1000062,2023-01-30 14:10:14.000000000,,ABANDONED
I7c6f6bc3ee2209cb4d7a167bd3ce80a9cfb74e17,146343,core,master,1000062,2023-01-30 10:31:45.000000000,,ABANDONED
I51c8d090f06f2e34b6076202fa8b394639d19f1e,144995,dictionaries,master,1003758,2023-01-03 21:02:30.000000000,,ABANDONED
I1e7d3c6ac64e3d6a0c1c4f9a6eb49c8b7ccbd0b1,145037,dictionaries,master,1001157,2023-01-05 08:20:18.000000000,,ABANDONED
Ifd0754bc6499831144b22b07f49ad5e01ed36ab3,151222,core,master,1000083,2024-01-08 03:11:34.000000000,,ABANDONED
I395fd4046766cdcd2b21f47eab5270509a8d2cf0,152192,core,master,1000179,2024-01-24 03:12:06.000000000,,ABANDONED
Ie3b18b64c39b199c08d88d157bc7c0afc0e44cce,156682,core,master,1000084,2024-01-27 03:13:59.000000000,,ABANDONED
Ie1407480d012b4da093f6825829b450ea6e7f66f,156942,core,master,1003966,2024-01-11 03:12:28.000000000,,ABANDONED
I4fa237dda5981a9470ea62025659e1a869e6ec8b,157942,core,master,1003558,2024-01-17 03:12:15.000000000,,ABANDONED
I62dba5eaf313b965bf37d8fa5e3f5bbb8f5e8357,158420,core,libreoffice-7-6,1000179,2024-01-03 03:11:14.000000000,,ABANDONED
I5280c70a1b12b3669e2972d020efe74ca7951898,158464,core,master,1000295,2024-01-24 03:12:06.000000000,,ABANDONED
I1828b763c0c8b7df0d809582728a8fb7b29b5815,158584,core,master,1000295,2024-01-21 03:13:09.000000000,,ABANDONED
I5f349eba57afa1a3715337903a492b9223ffb128,158604,core,master,1001615,2024-01-14 03:11:35.000000000,,ABANDONED
I64864b124d85662b1f535515181e9042b9488ebf,158713,core,master,1000295,2024-01-09 03:11:03.000000000,,ABANDONED
I4f8b3aca93547fa780bbd39c7fa68322552a7336,158740,core,master,1000179,2024-01-01 03:11:46.000000000,,ABANDONED
I5c46e9bbea5465bcd3132598dcfb21bc88ea847d,158800,core,master,1000295,2024-01-05 03:13:04.000000000,,ABANDONED
Ib2b77d32863b38f633f132f8191e204c933da8bc,158802,core,master,1000295,2024-01-09 03:11:03.000000000,,ABANDONED
I803191dafe101a42e4dbe1c0167411c2f1f76a2f,158814,core,libreoffice-7-6,1000022,2024-01-03 03:11:14.000000000,,ABANDONED
I81566f8be0cf6f4af6ed4af031116bd19e3884d7,158890,core,libreoffice-7-6,1001002,2024-01-04 03:12:22.000000000,,ABANDONED
I24476c359200a25ca9bcd467c33b0ebeb1afb037,158891,core,libreoffice-7-6,1001002,2024-01-04 03:12:23.000000000,,ABANDONED
I7a8b17189b319146142a2193ec4b5ec41e2c2d27,158909,core,libreoffice-7-6,1001002,2024-01-21 03:13:09.000000000,,ABANDONED
I77c8a6209f28085e512b500ef44594da36f0dcc2,158918,core,master,1000295,2024-01-04 03:12:23.000000000,,ABANDONED
I75bb59265f8c5cfa61af70a6d3e5a673fe9fe78d,158922,core,master,1000295,2024-01-09 03:11:03.000000000,,ABANDONED
I0c3c1b2fe5ca7fa1f22d7d6c15837aec66d8de5f,158923,core,master,1000295,2024-01-04 03:12:23.000000000,,ABANDONED
I025b8b756e94050472727bb9d7139d74d9b6a4e7,158924,core,master,1000295,2024-01-09 03:11:04.000000000,,ABANDONED
Ib0530b9f0d9813c1d45b68038ee328d5f5712bc4,158925,core,master,1000295,2024-01-05 03:13:05.000000000,,ABANDONED
Ib777b41592cca5d2379e24760ab531ec39fd6f67,158933,core,master,1000295,2024-01-09 03:11:04.000000000,,ABANDONED
Ie0b86aa3db7c9c3fe6b2640acfa65c73870ef62c,158958,core,distro/collabora/co-23.05,1000119,2024-01-06 03:12:52.000000000,,ABANDONED
Ifa5ff0a0769a6032950af8c3517447f45267f5cd,158964,core,master,1001615,2024-01-07 03:12:12.000000000,,ABANDONED
I7743c515ffc2b974c0866637362497c6b0eb62ae,158965,core,master,1000295,2024-01-21 03:13:10.000000000,,ABANDONED
I2bc8196a591a72e8e7a04791f7d4d99c6722565b,158966,core,master,1000295,2024-01-07 03:12:12.000000000,,ABANDONED
I4349ef42a30631196e81b6a6488b50d2a27778b7,158967,core,master,1000295,2024-01-07 03:12:12.000000000,,ABANDONED
